iso,name
tli,tlingitščina
tpi,"tok pisin"
tkl,tokelavščina
to,tongščina
zh_Hant,"tradicionalna kitajščina"
chk,trukeščina
tsi,tsimščina
ts,tsonga
tum,tumbukščina
tup,"tupijski jezik"
tk,turkmenščina
tr,turščina
tvl,tuvalujščina
tyv,tuvinščina
tw,tvi
udm,udmurtščina
uga,"ugaritski jezik"
fiu,"ugrofinski jezik"
ug,ujgurščina
uk,ukrajinščina
umb,umbundščina
art,"umetni jezik"
ur,urdujščina
uz,uzbeščina
vai,vajščina
wak,"vakaški jezik"
wal,valamščina
cy,valižanščina
wa,valonščina
war,varajščina
was,vašajščina
ve,venda
mul,"več jezikov"
vi,vietnamščina
de_CH,"visoka nemščina (Švica)"
vo,volapuk
wo,volofščina
vot,votjaščina
frs,"vzhodna frizijščina"
xh,xhosa
za,za
znd,zandejščina
zap,zapoteščina
zza,zazajščina
zen,zenaščina
sgn,"znakovni jezik"
zbl,"znakovni jezik Bliss"
zu,zulujščina
zun,zunijščina
chg,čagatajščina
ch,čamorščina
chy,čejenščina
chr,čerokeščina
ce,čečenščina
cs,češčina
chb,čibčevščina
chn,"činuški žargon"
chp,čipevščina
cho,čoktavščina
cv,čuvaščina
shn,šanščina
gd,"škotska gelščina"
sco,škotščina
sn,šonščina
es,španščina
sv,švedščina
